ID	hps_ck_1	hps_ck_2	hps_ck_3	hps_ck_4	hps_ck_5	hps_ck_6	hps_ck_7	hps_ck_8
Zotu13340								
Zotu20417	2	1		2			3	
Zotu9970								
Zotu15748								
Zotu6149	2	3		1	1			
Zotu15438				1				
Zotu17956								
Zotu20790								
Zotu7626						1		1
Zotu17845					1			
Zotu18290					2			
Zotu9121		1		1				
Zotu17219				1				
Zotu17069								
Zotu7130								
Zotu20833								
Zotu3496								
Zotu9385				1				
Zotu19126								
Zotu6270								
Zotu16680								
Zotu4601			1			1		
Zotu358								
Zotu5864								
Zotu5771								
Zotu11633		1					1	1
Zotu105	1	1		3	1	3		3
Zotu5517								
Zotu2710								
Zotu6738								
Zotu17274								
Zotu17758								
Zotu20596								
Zotu3727	1		1					
Zotu13299	1	1				1		
Zotu16314								
Zotu19628								
Zotu20365								
Zotu1371			1			1		2
Zotu1523								1
Zotu835	1	2	1	1		3	1	3
Zotu2736		1						
Zotu4165								
Zotu2052							1	
Zotu15836								
Zotu1073							1	
Zotu3970								
Zotu4518								
Zotu3039								
Zotu204								
Zotu328								
Zotu4371								
Zotu6098								
Zotu35		1	18	1	1			9
Zotu337			6					
Zotu7429								
Zotu13596								
Zotu20441								
Zotu444		1						5
Zotu880	1	2						1
Zotu315	1		1	1		1	1	
Zotu5443								
Zotu8703								
Zotu20470								
Zotu982	1	1		2		2		3
Zotu1233	8	7	6	10	8	14	11	10
Zotu9405					1	1		1
Zotu425	24	30	7	16	21	22	14	29
Zotu4874	2	4			1		3	3
Zotu15459				1				
Zotu18548								
Zotu10137	3	2		2				
Zotu11520								
Zotu17326		1						
Zotu5688			4	2	2	1		1
Zotu17127								
Zotu9958							1	1
Zotu18705				1				
Zotu12818	1	3		5				
Zotu4875	2				1	1		
Zotu11762								
Zotu13239		1	1				1	1
Zotu3508			1	3			1	
Zotu7316				2				
